priority_tier,gap_to_l1,kc_code,kc_name,chapter_info,have_total,have_anchor,have_easy,have_medium,have_hard,need_anchor,need_easy,need_medium,need_hard,need_total,prerequisites,successors,existing_questions
T1_QUICK_WIN,2,G6-MATH-TIA,Tia,B32K2,8,4,4,4,0,0,0,0,3,2,(none),"G6-MATH-TIA-DOI-NHAU (Tia đối nhau) | G9-MATH-NHAN-BIET-GOC (Nhận biết góc - đỉnh, cạnh, ký hiệu) | G7-MATH-NHAN-BIET-TIA (Nhận biết tia phân giác và tính số đo góc )","[easy] Trong cách viết tên ""tia Am"", ký tự nào đại diện cho gốc của tia? | [medium] Hai tia được gọi là đối nhau nếu chúng thỏa mãn đồng thời các điều kiện nào sau đây? | [medium] Cho điểm M nằm trên đường thẳng d. Cách viết ký hiệu nào sau đây mô tả đúng mối quan hệ nà | [easy] Trong các cách đặt tên sau đây, cách nào tuân thủ đúng quy ước thông thường trong hình học | [medium] Khi ba điểm A, B, C cùng thuộc một đường thẳng, ta gọi ba điểm đó là: | [easy] Qua hai điểm phân biệt P và Q cho trước, có thể vẽ được bao nhiêu đường thẳng đi qua cả ha | [medium] Khẳng định nào sau đây mô tả chính xác nhất về tia Ox? | [easy] Cho điểm B nằm giữa hai điểm A và C. Khẳng định nào sau đây là SAI?"
T1_QUICK_WIN,2,G6-MATH-TIM-VA-XAC,Tìm và xác định trục đối xứng của hình phẳng,B21K1,8,4,3,4,1,0,0,0,2,2,(none),G6-MATH-NHAN-BIET-HINH-1 (Nhận biết hình có trục đối xứng),"[medium] Cho một hình phẳng và một đường thẳng d. Theo định nghĩa về hình có trục đối xứng, đường t | [medium] Trong các khẳng định sau về trục đối xứng của các hình phẳng quen thuộc, khẳng định nào đú | [easy] Để cắt chữ T từ một tờ giấy hình chữ nhật bằng cách gấp đôi tờ giấy một lần duy nhất, ta n | [medium] Đường thẳng d được gọi là trục đối xứng của một hình phẳng nếu: | [medium] Xét một hình chữ nhật. Phát biểu nào sau đây mô tả đúng về trục đối xứng của nó? | [easy] Để cắt được chữ T từ một tờ giấy hình chữ nhật bằng phương pháp gấp đôi một lần duy nhất,  | [hard] Bạn An thực hiện một thí nghiệm: ""Lấy một hình thoi (không phải hình vuông), vẽ hai đường  | [easy] Hình nào trong các hình sau đây có số lượng trục đối xứng lớn nhất?"
T1_QUICK_WIN,2,G6-MATH-TINH-DO-DAI,Tính độ dài qua trung điểm ,B35K2,8,3,4,3,1,0,0,0,2,2,G6-MATH-SO-SANH-DO (So sánh độ dài đoạn thẳng) | G6-MATH-NHAN-BIET-TRUNG (Nhận biết trung điểm của đoạn thẳng ) | G6-MATH-CONG-DO-DAI (Cộng độ dài đoạn thẳng ),(none),"[hard] Bạn An thực hiện bài toán: ""Cho M là trung điểm AB. Biết AM = 3 cm, tính AB"". An giải như  | [medium] Cho điểm M là trung điểm của đoạn thẳng AB. Khẳng định nào sau đây diễn đạt đúng nhất về m | [medium] Nếu điểm K nằm giữa hai điểm C và D sao cho CK = 5 cm, thì để K là trung điểm của đoạn thẳ | [easy] Cho đoạn thẳng EF có độ dài là L. Nếu G là trung điểm của EF thì độ dài đoạn thẳng EG được | [medium] Nếu điểm M là trung điểm của đoạn thẳng PQ có độ dài bằng s, khẳng định nào sau đây mô tả  | [easy] Điểm C là trung điểm của đoạn thẳng AB. Nếu biết độ dài đoạn thẳng AC là m, thì độ dài đoạ | [easy] Để điểm I là trung điểm của đoạn thẳng PQ, cần thỏa mãn bao nhiêu điều kiện trong hai điều | [easy] Trên tia Ox, lấy hai điểm E và F sao cho OE = EF. Khẳng định nào sau đây là đúng nhất về v"
T1_QUICK_WIN,2,G9-MATH-NHAN-BIET-BINH,"Nhận biết bình phương, lập phương,",B6K1,8,4,2,4,2,0,1,0,1,2,"G9-MATH-NHAN-BIET-CAU (Nhận biết cấu trúc lũy thừa (cơ số, số mũ, đọc/viết ký hiệu aⁿ))",G9-MATH-NHAN-BIET-SO (Nhận biết số chính phương),"[medium] Ký hiệu toán học nào dưới đây biểu diễn ""lập phương của 8""? | [medium] Phát biểu nào sau đây là ĐÚNG khi đọc biểu thức 12²? | [easy] Phép tính nào dưới đây giải thích đúng ý nghĩa của cụm từ ""bình phương của 7""? | [hard] Một bạn học sinh phát biểu: ""Số 8 là một số chính phương vì 8 = 4 × 2"". Phát biểu này đúng | [hard] Các số 0, 1, 4, 9, 16,... gọi là các số chính phương. Dựa vào quy luật đó, số nào dưới đây | [medium] Khẳng định nào sau đây là đúng khi nói về biểu thức x³ (với x là số tự nhiên)? | [medium] Trong các cách viết sau, cách viết nào biểu diễn ""Bình phương của tổng a và b""? | [easy] Đối với lũy thừa 5², số 5 được gọi là gì?"
T1_QUICK_WIN,3,G6-MATH-AP-DUNG-DUNG,Áp dụng đúng thứ tự phép tính KHÔNG có ngoặc Thứ tự: lũy thừa → nhân chia → cộng trừ (trái sang phải khi cùng cấp),B7K1,7,2,2,2,3,0,1,0,2,3,"G9-MATH-NHAN-BIET-CAU (Nhận biết cấu trúc lũy thừa (cơ số, số mũ, đọc/viết ký hiệu aⁿ))",(none),"[medium] Trong một biểu thức không có dấu ngoặc, chỉ bao gồm các phép tính: cộng, trừ, nhân, chia v | [medium] Để tính giá trị của biểu thức M = 100 - 2 · 3² + 5 theo đúng quy tắc, bước thực hiện đầu t | [easy] Khi thực hiện tính giá trị biểu thức A = 48 ÷ 4 · 2, quy tắc nào sau đây là đúng? | [easy] Cho biểu thức biểu diễn dưới dạng chữ: P = a + b · c. Khẳng định nào sau đây mô tả đúng tr | [hard] Một học sinh giải bài toán tính giá trị biểu thức Q = 20 - 10 ÷ 2 · 3 như sau:
Bước 1: Q = | [hard] Xét biểu thức tổng quát (không có dấu ngoặc): X = aⁿ - b · c ÷ d + e. Gọi T1 là kết quả củ | [hard] Xét biểu thức tổng quát (không có dấu ngoặc): X = aⁿ - b · c ÷ d + e. Gọi T1 là kết quả củ"
T1_QUICK_WIN,3,G6-MATH-AP-DUNG-DUNG-1,Áp dụng đúng thứ tự phép tính CÓ ngoặc (bao gồm ngoặc lồng nhiều cấp) Thứ tự ngoặc: {} → [] → (),B7K1,7,2,2,3,2,0,1,0,2,3,(none),G6-MATH-BO-NGOAC-LONG (Bỏ ngoặc lồng nhau ),"[medium] Khi thực hiện tính giá trị của một biểu thức có chứa các dấu ngoặc: ngoặc tròn ( ), ngoặc  | [medium] Trong biểu thức {18 − [6 − (4 − 1)]}, nhóm ngoặc nào phải được thực hiện trước? | [easy] Trong biểu thức P = 100 : [5 · (3 + 2)], phép tính nằm trong dấu ngoặc nào cần được ưu tiê | [hard] Bạn An thực hiện tính giá trị biểu thức M = 120 : {2 · [30 - (5 + 5)]} theo các bước sau:
 | [medium] Cho biểu thức tổng quát: A = x + {y ÷ [z · (m - n)]}. Trong các bước thực hiện dưới đây, b | [hard] Xét biểu thức T = a - {b + [c - (d + e)]}. Sau khi thực hiện phép tính (d + e) và thu được | [easy] Để tính giá trị biểu thức Q = 80 - {20 + [10 - (5 + 3)]}, một học sinh phát biểu các bước "
T1_QUICK_WIN,3,G6-MATH-B37K2,Nhận biết góc đặc biệt ,B37K2,7,2,2,2,3,0,1,0,2,3,G6-MATH-DO-GOC-BANG (Nhận biết số đo góc và đo góc bằng thước đo góc),"G7-MATH-NHAN-BIET-DUONG-1 (Nhận biết đường vuông góc, đường xiên, khoảng cách) | G6-MATH-GOC-BET (Góc bẹt) | G7-MATH-AP-DUNG-HE (Áp dụng hệ quả tính chất hai đường tăhnrg song song (vuông góc) ) | G7-MATH-PHAN-LOAI-TAM (Phân loại tam giác theo góc ) | G7-MATH-NHAN-BIET-DUONG (Nhận biết đường trung trực )","[easy] Trong các số đo sau đây, số đo nào có thể là số đo của một góc nhọn? | [hard] Cho góc m có số đo là a và góc n có số đo là b. Biết rằng 90° < a < 180° và tổng số đo hai | [medium] Khẳng định nào sau đây mô tả đúng về đặc điểm của góc tù? | [medium] Khi so sánh một góc nhọn (ký hiệu là góc x) và một góc vuông (ký hiệu là góc y), khẳng địn | [easy] Dụng cụ đo góc (thước đo độ) cho biết một góc có số đo tối đa là bao nhiêu độ? | [hard] Một bạn học sinh phát biểu: ""Mọi góc có số đo lớn hơn 90° đều là góc tù"". Phát biểu này đú | [hard] Một bạn học sinh phát biểu: ""Mọi góc có số đo lớn hơn 90° đều là góc tù"". Phát biểu này đú"
T1_QUICK_WIN,3,G6-MATH-NHAN-BIET-HINH,Nhận biết hình vuông ,B18K1,7,2,3,2,2,0,0,0,3,3,G6-MATH-MO-TA-CAC-1 (Mô tả các tính chất của hình vuông),G6-MATH-VE-HINH-VUONG (Vẽ Hình vuông),"[easy] Trong các đặc điểm sau, đặc điểm nào KHÔNG PHẢI là của hình vuông? | [hard] Một bạn học sinh khẳng định: ""Nếu một hình tứ giác có bốn cạnh bằng nhau thì đó chắc chắn  | [medium] Trong hình vuông ABCD, khẳng định nào sau đây mô tả đúng và đầy đủ nhất về các góc của hìn | [medium] Cho hình vuông MNPQ. Hai đoạn thẳng nào sau đây chắc chắn có độ dài bằng nhau? | [easy] Hình vuông là hình có bao nhiêu cạnh bằng nhau? | [easy] Trong các đặc điểm sau, đặc điểm nào KHÔNG PHẢI là của hình vuông? | [hard] Một bạn học sinh khẳng định: ""Nếu một hình tứ giác có bốn cạnh bằng nhau thì đó chắc chắn "
T1_QUICK_WIN,3,G6-MATH-NHAN-BIET-HINH-2,Nhận biết hình có tâm đối xứng,B22K1,7,3,2,3,2,0,1,0,2,3,(none),G6-MATH-XAC-DINH-VI (Xác định vị trí tâm đối xứng của hình phẳng cụ thể ) | G6-MATH-XAC-DINH-VI-1 (Xác định vị trí tâm đối xứng của các hình khác),"[hard] Bạn An khẳng định: ""Tất cả các hình có trục đối xứng thì chắc chắn sẽ có tâm đối xứng"". Ph | [medium] Trong các hình phẳng sau: Hình bình hành, hình thoi, hình chữ nhật và hình vuông, điểm nào | [hard] Giả sử điểm O là tâm đối xứng của một hình H. Nếu lấy một điểm M bất kỳ thuộc hình H, thì  | [easy] Cho hình lục giác đều có tâm O là giao điểm của các đường chéo chính. Nếu ta thực hiện qua | [easy] Trong các hình dưới đây, hình nào KHÔNG có tâm đối xứng trong thực tế? | [medium] Một hình phẳng được gọi là hình có tâm đối xứng O nếu ta quay hình đó xung quanh điểm O đú | [medium] Một hình phẳng được gọi là hình có tâm đối xứng O nếu khi ta quay hình đó xung quanh điểm "
T1_QUICK_WIN,3,G6-MATH-NHAN-BIET-SO-1,Xác định số đối của một số nguyên,B14K1,7,2,2,2,3,0,1,0,2,3,"G6-MATH-NHAN-BIET-DOC (Nhận biết, đọc và viết số nguyên âm)",G6-MATH-TU-CHO-SO (Trừ hai số nguyên) | G9-MATH-BO-DAU-NGOAC (Bỏ dấu ngoặc có dấu - đằng trước) | G6-MATH-SO-DOI-CUA (Xác định số đối của phân số),"[medium] Cho hai số nguyên m và n là hai số đối nhau. Khẳng định nào sau đây luôn đúng về tổng của  | [medium] Ký hiệu số đối của số nguyên a là -a. Theo quy tắc này, cách viết nào sau đây thể hiện đún | [easy] Trên trục số nằm ngang, nếu điểm biểu diễn số nguyên x nằm bên trái điểm 0 và cách điểm 0  | [easy] Trong tập hợp các số nguyên, số nào có đặc điểm là ""số đối của chính nó""? | [hard] Cho x là một số nguyên âm. Phát biểu nào sau đây là ĐÚNG nhất khi nói về số đối của x (ký  | [hard] Một học sinh thực hiện phép trừ hai số nguyên như sau: 7 - (-4) = 7 - 4 = 3. Em hãy phân t | [hard] Một học sinh thực hiện phép trừ hai số nguyên như sau: 7 - (-4) = 7 - 4 = 3. Em hãy phân t"
T1_QUICK_WIN,3,G6-MATH-NHAN-BIET-TAP,Nhận biết tập hợp và liệt kê tập hợp,B1K1,7,1,0,0,0,1,3,2,3,3,(none),G6-MATH-NHAN-BIET-PHAN (Nhận biết phần tử thuộc hoặc không thuộc tập hợp) | G6-MATH-NHAN-BIET-SO-2 (Nhận biết số thực và tập hợp R),"[None] Tập hợp các chữ cái trong từ ""TOÁN"" được viết là: | [None] Cho tập hợp A = {7}. Khẳng định nào sau đây là đúng? | [None] Liệt kê tập hợp A gồm các số tự nhiên chẵn lớn hơn 3 và nhỏ hơn 12. | [None] Tập hợp B gồm các chữ số xuất hiện trong số 20 262 là: | [None] Cách viết nào dưới đây là cách viết đúng của tập hợp gồm các số 1, 2, 3? | [None] Tập hợp C gồm các số tự nhiên x thỏa mãn x · 0 = 0 và x < 4 là: | [None] Tập hợp các số tự nhiên nhỏ hơn 5 là:"
T1_QUICK_WIN,3,G6-MATH-TIM-BOI-CUA,Tìm bội của một số ,B8K1,7,2,3,2,2,0,0,0,3,3,G6-MATH-XAC-DINH-UOC (Xác định ước và bội trong phép chia hết ),G6-MATH-TIM-UOC-VA (Tìm ước và bội số ),"[medium] Cho số tự nhiên n khác 0. Tập hợp các bội của n, kí hiệu là B(n), được viết dưới dạng chỉ  | [medium] Để tìm các bội của số 6, một học sinh thực hiện nhân 6 lần lượt với các số tự nhiên 0; 1;  | [easy] Nếu có số tự nhiên k sao cho a = 15 · k, ta phát biểu về quan hệ giữa a và 15 như thế nào  | [easy] Trong các khẳng định sau, khẳng định nào đúng về mối quan hệ giữa số 0 và một số tự nhiên  | [easy] Trong các khẳng định sau, khẳng định nào đúng về mối quan hệ giữa số 0 và một số tự nhiên  | [hard] Cho x và y là hai số tự nhiên khác 0. Nếu x là một bội của m và y cũng là một bội của m, k | [hard] Một học sinh liệt kê tập hợp P các bội của 8 nhưng nhỏ hơn 40 như sau: P = {8; 16; 24; 32}"
T1_QUICK_WIN,3,G6-MATH-TIM-UOC-VA,Tìm ước và bội số ,B17K1,7,4,3,4,0,0,0,0,3,3,G6-MATH-TIM-UOC-CUA (Tìm ước của một số ) | G6-MATH-TIM-BOI-CUA (Tìm bội của một số ) | G6-MATH-NHAN-BIET-MO (Nhận biết - Mở rộng ước và bội sang số nguyên âm),G6-MATH-QUY-DONG-MAU (Quy đồng mẫu các phân số có tử/mẫu nguyên bằng cách đưa về các phân số bằng nhau cùng mẫu dương),"[medium] Cho m và n là hai số nguyên dương. Theo quy tắc nhân hai số nguyên khác dấu, khẳng định nà | [easy] Trong các phát biểu sau về phép nhân với số 0, phát biểu nào đúng với mọi số nguyên a? | [medium] Xét tích P = a · b trong đó a và b là hai số nguyên âm. Phát biểu nào sau đây mô tả đúng n | [easy] Khẳng định nào sau đây là LUÔN ĐÚNG về dấu của tích hai số nguyên âm? | [medium] Cho m và n là hai số tự nhiên khác 0. Biểu thức nào sau đây biểu diễn đúng quy tắc nhân ha | [medium] Khi thực hiện phép tính tích của một số nguyên a với tổng (b + c), khẳng định nào sau đây  | [easy] Kết quả của phép nhân một số nguyên âm với một số nguyên dương là:"
